,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
159,32018,岩手県,盛岡市,湯沢地域交流活性化センター,ユザワチイキコウリュウカッセイカセンター,岩手県盛岡市湯沢西3-4-14,,,1,141.0949759,39.63947065
160,32018,岩手県,盛岡市,仁王地区活動センター,ニオウチクカツドウセンター,岩手県盛岡市三ﾂ割字下更ﾉ沢26-4,,,1,141.1576419,39.72697575
161,32018,岩手県,盛岡市,東中野運動広場,ヒガシナカノウンドウヒロバ,岩手県盛岡市東中野立石8-11,,,1,141.1729192,39.68477391
162,32018,岩手県,盛岡市,盛岡市屋内ゲートボール場,モリオカシオクナイゲートボールジョウ,岩手県盛岡市前九年3丁目9-37,,,1,141.1208464,39.71746067
163,32018,岩手県,盛岡市,都南体育館,トナンタイイクカン,岩手県盛岡市津志田14地割19-1,,,1,141.1606777,39.65459789
164,32018,岩手県,盛岡市,盛岡市弓道場,モリオカシキュウドウジョウ,岩手県盛岡市加賀野4丁目18-27,,,1,141.1704903,39.70921832
165,32018,岩手県,盛岡市,都南中央公園プール,トナンチュウオウコウエンプール,岩手県盛岡市永井24地割3-2,,,1,141.1556,39.65045179
166,32018,岩手県,盛岡市,岩手公園地下駐車場,イワテコウエンチカチュウシャジョウ,岩手県盛岡市内丸1-55,,,1,141.1526057,39.7010139
167,32018,岩手県,盛岡市,サンライフ盛岡,サンライフモリオカ,岩手県盛岡市仙北2丁目4-12,,,1,141.1501051,39.68597387
168,32018,岩手県,盛岡市,飯岡体育館（飯岡地区公民館）,イイオカタイイクカン,岩手県盛岡市下飯岡8地割86,,,1,141.1241071,39.66574187
169,32018,岩手県,盛岡市,盛岡バスセンター３階,モリオカバスセンター　サンカイ,岩手県盛岡市中ノ橋通１丁目９,,,1,141.1573127,39.7000443
170,32018,岩手県,盛岡市,みたけ老人福祉センター,ミタケロウジンフクシセンター,岩手県盛岡市みたけ3丁目13-23,,,1,141.1147819,39.73826743
171,32018,岩手県,盛岡市,太田幼稚園,オオタヨウチエン,岩手県盛岡市上太田吉本9,,,1,141.0817388,39.68764509
172,32018,岩手県,盛岡市,米内幼稚園,ヨナイヨウチエン,岩手県盛岡市上米内字米内沢89,,,1,141.2020275,39.75472523
173,32018,岩手県,盛岡市,都南老人福祉センター,トナンロウジンフクシセンター,岩手県盛岡市下飯岡８－１００,,,1,141.1237611,39.66688515
